State,District,Kind_of_Data,Type_of_initative,Dropdown_list,Tabs (Govt./Others),Card Title,Card Description,Helpline_numbers,Link,Eligibilty (if any),Documents Required (if any),Duration,Any other relevant details,Source links for PDFs
Chhattisgarh,ALL,State,Others,,Govt.,CM relief fund,,,http://gad.cg.gov.in/cgcorona/assets/images/covid-19-banner5.JPG,,,,,http://gad.cg.gov.in/cgcorona/
Chhattisgarh,ALL,State,Health View,Tele-Consultation,Govt.,Medical service helplines,for people with chronic ailments or in case of emergencies,,http://gad.cg.gov.in/cgcorona/Circulars/2000446.pdf,,,,,http://gad.cg.gov.in/cgcorona/
Chhattisgarh,ALL,State,Health view,Covid-19 Testing Centres,Govt.,Government Laboratory,All India Institute of Medical Sciences; Raipur,,https://icmr.nic.in/,,,,,
Chhattisgarh,ALL,State,Health view,Covid-19 Testing Centres,Govt.,Government Laboratory,Late Baliram Kashyap M Govt. Medical College; Jagdalpur,,https://icmr.nic.in/,,,,,
Chhattisgarh,ALL,State,Health view,Covid-19 Testing Centres,Govt.,Government Laboratory,JNM Medical College; Raipur,,https://icmr.nic.in/,,,,,
Chhattisgarh,ALL,State,Health view,Covid-19 Testing Centres,Govt.,Government Laboratory,Late Shri Lakhi Ram Agrawal Memorial; Govt. Medical College; Raigarh,,https://icmr.nic.in/,,,,,
Chhattisgarh,ALL,State,Health view,Isolation Centers,Govt.,Old rest house; Dantewada,,9441611610,http://gad.cg.gov.in/cgcorona/Circulars/2000365.pdf,,,,,http://gad.cg.gov.in/cgcorona/
Chhattisgarh,ALL,State,Health view,Isolation Centers,Govt.,Hotel Baila Inn; Kirandul,,,http://gad.cg.gov.in/cgcorona/Circulars/2000365.pdf,,,,,http://gad.cg.gov.in/cgcorona/
Chhattisgarh,ALL,State,Shelter,,Govt.,Samudayik Bhavan ; Bishunpur,,,http://gad.cg.gov.in/cgcorona/Circulars/2000304.pdf,,,,,http://gad.cg.gov.in/cgcorona/
Chhattisgarh,ALL,State,Shelter,,Govt.,100 seater chatravaas; Sargawan,,,http://gad.cg.gov.in/cgcorona/Circulars/2000304.pdf,,,,,http://gad.cg.gov.in/cgcorona/
Chhattisgarh,ALL,State,Food view,Others,,Public food shelters,Across chattisgarh,,https://www.google.com/search?sxsrf=ALeKk01yN_dM5F63g1il0S8pN3vykYtRUQ:1587803259067&q=public+food+shelter+chhattisgarh&npsic=0&rflfq=1&rlha=0&rllag=21638457;81448351;47594&tbm=lcl&ved=2ahUKEwjKjOuJlIPpAhXX4HMBHfTCCOMQjGp6BAgLEDs&tbs=lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u16!2m2!16m1!1e1!1m4!1u16!2m2!16m1!1e2!2m1!1e16!2m1!1e3!3sIAE;lf:1;lf_ui:2&rldoc=1#rlfi=hd:;si:;mv:[[23.282236899999997;84.3273116];[20.093259399999997;80.8497502]];tbs:lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u16!2m2!16m1!1e1!1m4!1u16!2m2!16m1!1e2!2m1!1e16!2m1!1e3!3sIAE;lf:1;lf_ui:2,,,,some of the food shelters are;Bus Stand; Shahid Veer Naryan Pratiksha; Durg Dalli-Rajhara Rd; Balod; Chhattisgarh 491226;New Bus Stand; Sindhi Colony; Baloda Bazar; Chhattisgarh 493332;Infornt of District Hospital ; Ward No. 13; Chhattisgarh,
Chhattisgarh,Balod,District,Food view,Others,Govt.,Mobile food bank,Chalit Anaj bank - for collection of ration from houses and delivery to needy people ; monetary help also available,7749222142 ; 999382278,https://scontent.fixc1-3.fna.fbcdn.net/v/t1.0-9/93418532_2908431615904018_3584203702329671680_n.jpg?_nc_cat=104&_nc_sid=110474&_nc_oc=AQlPeDYw9TlPwFM57il61t4qFvNLYjfXYtF80UG4rOtGA9Ku6cylCYI4wktSa-p0Evs&_nc_ht=scontent.fixc1-3.fna&oh=695969349d33acd6486f4cf4887cdaf4&oe=5ED3A1C4,,,,,
Chhattisgarh,Baloda Bazar,District,Others,,Govt.,COVID relief food and health bank,collection of food and relief materials like masks; sanitizers; PPE Kit; liquid soap;etc,,https://docs.google.com/forms/d/e/1FAIpQLSchI8ChNCSGNOUXy6on7WHciLgZNMoUjA4DNN5P-WWGw9YCvg/viewform?embedded=true,,,,,
Chhattisgarh,Balrampur,District,E-pass view,,Govt.,Inter district travel pass,for emergencies,,http://gad.cg.gov.in/cgcorona/Circulars/2000247.pdf,,,,,http://gad.cg.gov.in/cgcorona/
Chhattisgarh,Balrampur,District,Others,,Govt.,Essential services timings,banks;10:301m to 1:30 pm ; ration shops;8am to 12 noon,,http://gad.cg.gov.in/cgcorona/Circulars/2000248.pdf,,,,,http://gad.cg.gov.in/cgcorona/
Chhattisgarh,Balrampur,District,Health view,Isolation centers,Govt.,Aadhar Lodge; Balrampur - Quarantine Centre,,,http://gad.cg.gov.in/cgcorona/Circulars/2000252.pdf,,,,,http://gad.cg.gov.in/cgcorona/
Chhattisgarh,Balrampur,District,Health view,Isolation centers,Govt.,Satyam Inn Lodge ; balrampur - Quarantine Centre,,,http://gad.cg.gov.in/cgcorona/Circulars/2000252.pdf,,,,,http://gad.cg.gov.in/cgcorona/
Chhattisgarh,Balrampur,District,Health view,Isolation centers,Govt.,Priyarani Lodge ; balrampur - Quarantine Centre,,,http://gad.cg.gov.in/cgcorona/Circulars/2000252.pdf,,,,,http://gad.cg.gov.in/cgcorona/
Chhattisgarh,Balrampur,District,Health view,Isolation centers,Govt.,Aadarsh Dharamshala ; Ramanujangaj -Quarantine Centre,,,http://gad.cg.gov.in/cgcorona/Circulars/2000252.pdf,,,,,http://gad.cg.gov.in/cgcorona/
Chhattisgarh,Bastar,District,Others,,Govt.,Guhaar app,for grievances and suggestion during lockdown,,http://www.guhaar.in/,,Requires Android 5 and above,,,
Chhattisgarh,Bilaspur,District,Others,,Govt.,Essential service timings,banks ;gas agencies; ration shops;milk parlours,,http://gad.cg.gov.in/cgcorona/Circulars/2000140.pdf,,,,,http://gad.cg.gov.in/cgcorona/
Chhattisgarh,Bilaspur,District,Others,,Govt.,Fatafat mobile app,Delivery of groceries and medicines,,Available on GooglePlayhttps://www.dailypioneer.com/2020/state-editions/---fatafat-easy-home-Delivery--app-launched-by-bmc.html,,Requires Android 5.1 and up,,,
Chhattisgarh,Durg,District,Others,,Govt.,Essential Service Helpline,banks ;gas agencies; ration shops;milk parlours,,http://gad.cg.gov.in/cgcorona/Circulars/2000175.pdf,,,,,http://gad.cg.gov.in/cgcorona/
Chhattisgarh,Durg,District,Health view,Isolation centers,Govt.,Marigold Marriage palace; Durg,,,http://gad.cg.gov.in/cgcorona/Circulars/2000449.pdf,,,,,http://gad.cg.gov.in/cgcorona/
Chhattisgarh,Durg,District,Health view,Isolation centers,Govt.,Abhinandam ; Durg,,,http://gad.cg.gov.in/cgcorona/Circulars/2000449.pdf,,,,,http://gad.cg.gov.in/cgcorona/
Chhattisgarh,Durg,District,Health view,Isolation centers,Govt.,Anand Mangalam ; Durg,,,http://gad.cg.gov.in/cgcorona/Circulars/2000449.pdf,,,,,http://gad.cg.gov.in/cgcorona/
Chhattisgarh,Durg,District,Health view,Isolation centers,Govt.,Maharaja Agrasen Welfare Trust ; Durg,,,http://gad.cg.gov.in/cgcorona/Circulars/2000449.pdf,,,,,http://gad.cg.gov.in/cgcorona/
Chhattisgarh,Durg,District,Others,,Govt.,CG Haat web portal,for placing grocery orders online,9425512559;9669606708;9644082508;993376904,http://cghaat.in/,,,,,
Chhattisgarh,Raigarh,District,Others,,Govt.,Novel Corona Sahatya Kosh,Online form to pledge essentials towards the collection by the district administration (money; food; health supplies),,https://docs.google.com/forms/d/e/1FAIpQLSesWvYRoXpBIGIl9vL5kV1lRue968bS5plYoij06BX_UnkGlQ/Viewform,,,,,
Chhattisgarh,Raipur,District,Others,,Govt.,Donation on Wheels,Initiative of Raipur Municipal Corporation and state government to disperse food kits to the needy. Each kit contains specified amounts of rice; dal; soap; wheat flour; turmeric; salt; etc.  For donations; call:,9926645886;9827178921;9907934368;8305835358;9826123957;9669577888,https://raipur.gov.in/,,,,The grocery items and cash (in case one is not able to donate groceries) for donation are collected from the public and organizations.,
Chhattisgarh,Raipur,District,E-Pass View,,Govt.,CG Covid-19 ePass app,To facilitate issuance of Vehicles Passes for inter and intra district movement of vehicles,,https://raipur.gov.in/cg-covid-19-epass/,,Requires Android 4.4 and above,,Available on Googleplay for download,
Chhattisgarh,Raipur,District,Health View,Covid-19 Testing Centres,Govt.,Govt Testing Labs,1. All India Institute of Medical Sciences; Raipur 2. JNM Medical College; Raipur,7712572240,https://www.icmr.gov.in/,,,,,
Chhattisgarh,Raipur,District,Food View,Ration,Govt.,Food distribution,food for the needy: near SMC Hospital  (Behind Petrol Pump; Mowa) Raipur; Chhattisgarh 492007,099079 31151,https://www.google.com/search?sxsrf=ALeKk01yN_dM5F63g1il0S8pN3vykYtRUQ:1587803259067&q=public+food+shelter+chhattisgarh&npsic=0&rflfq=1&rlha=0&rllag=21638457;81448351;47594&tbm=lcl&ved=2ahUKEwjKjOuJlIPpAhXX4HMBHfTCCOMQjGp6BAgLEDs&tbs=lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u16!2m2!16m1!1e1!1m4!1u16!2m2!16m1!1e2!2m1!1e16!2m1!1e3!3sIAE;lf:1;lf_ui:2&rldoc=1#rlfi=hd:;si:;mv:[[23.282236899999997;84.3273116];[20.093259399999997;80.8497502]];tbs:lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u16!2m2!16m1!1e1!1m4!1u16!2m2!16m1!1e2!2m1!1e16!2m1!1e3!3sIAE;lf:1;lf_ui:2,,,,,
Chhattisgarh,Rajnandgaon,District,Health View,Tele-Consultation,Govt.,CMHO helpline for infection and health,Helpline for Infection and health related concerns/issues,7744 224084,https://rajnandgaon.nic.in/,,,,,
Chhattisgarh,Surajpur,District,Health View,Tele-Consultation,Govt.,Surajpur TELE - MED,Online medical prescription portal and home Delivery service,,https://cgsurajpur.shanrohi.co/cgemed/emed,,,,,
Assam,ALL,State,Food View,Others,Govt.,Public Food Shelters across Assam,,,https://covid19.assam.gov.in/wp-content/uploads/2020/04/COVID-Suraksha-V1.0.pdf,,,,,https://covid19.assam.gov.in/
Assam,ALL,State,Health View,Tele-consultation,Govt.,Medical helpline,for mental health care during lockdown (by GMCH and Assam police),6026901053;54;55,https://covid19.assam.gov.in/contact-us/,,,,,
